label,device_name,num_samples,num_files,window_acc,file_acc
0,Device1,256,1,0.66796875,1.0
1,Device2,256,1,0.8203125,1.0
2,Device3,256,1,0.0,0.0
3,Device4,256,1,0.74609375,1.0
4,Device5,256,1,0.69921875,1.0
5,Device6,256,1,0.72265625,1.0
6,Device7,256,1,0.671875,1.0
7,Device8,256,1,0.45703125,0.0
8,Device9,256,1,0.0,0.0
9,Device10,256,1,0.0078125,0.0
10,Device11,256,1,0.87890625,1.0
11,Device12,256,1,0.93359375,1.0
12,Device13,256,1,0.0,0.0
13,Device14,256,1,0.140625,1.0
14,Device15,256,1,0.2890625,1.0
15,Device16,256,1,0.203125,0.0
16,Device17,256,1,0.84765625,1.0
17,Device18,256,1,0.03515625,0.0
18,Device19,256,1,0.53515625,1.0
19,Device20,256,1,0.91796875,1.0
20,Device21,256,1,0.984375,1.0
21,Device22,256,1,0.0,0.0
22,Device23,256,1,0.296875,0.0
23,Device24,256,1,0.3359375,0.0
