category,bibkey,title,authors,venue,year,doi_or_url,source_paper,status,why_cite,used_in_section,notes
LoRa RFFI / OSU dataset,elmaghbub2021lora_wild,LoRa Device Fingerprinting in the Wild: Disclosing RF Data-Driven Fingerprint Sensitivity to Deployment Variability,Abdurrahman Elmaghbub; Bechir Hamdaoui,IEEE Access,2021,10.1109/ACCESS.2021.3121606,paper_reading_notes.md,ABSTRACT_CHECKED,Primary OSU dataset and deployment-variability framing; OOB prior art boundary,02_related_work;03_system_model,PDF blocked HTTP418; metadata verified via DOI/HBKU page
LoRa RFFI / OSU dataset,hamdaoui2022deeplearning,Deep-Learning-Based Device Fingerprinting for Increased LoRa-IoT Security: Sensitivity to Network Deployment Changes,Bechir Hamdaoui; Abdurrahman Elmaghbub,IEEE Network,2022,10.1109/MNET.001.2100553; arXiv:2208.14964,paper_reading_notes.md,READ,Reinforces cross-setting sensitivity and OOB distortion usage,01_introduction;02_related_work,Local PDF available
LoRa RFFI / OSU dataset,elmaghbub2021dataset_release,Comprehensive RF Dataset Collection and Release: Deep Learning-Based RF Fingerprinting Use Case,Abdurrahman Elmaghbub; Bechir Hamdaoui,Proc. IEEE Globecom Workshops,2021,,snowball from hamdaoui2022 refs [12],ABSTRACT_CHECKED,Dataset release / collection citation for OSU LoRa data,03_system_model;05_experiments,From IEEE Network paper reference list
CNN-IQ / spectrogram RFFI baseline,shen2021lora_spectrogram_cnn,Radio Frequency Fingerprint Identification for LoRa Using Spectrogram and CNN,Guanxiong Shen; Junqing Zhang; Alan Marshall; Linning Peng; Xianbin Wang,IEEE INFOCOM,2021,arXiv:2101.01668,paper_reading_notes.md,READ,LoRa chirp/time-frequency motivation; spectrogram baseline context,02_related_work,Do not direct-compare 97% result
CNN-IQ / spectrogram RFFI baseline,jian2020deeplearning_rf_fingerprinting,Deep Learning for RF Fingerprinting: A Massive Experimental Study,T. Jian et al.,IEEE Internet of Things Magazine,2020,,snowball from hamdaoui2022 refs [3],ABSTRACT_CHECKED,CNN RF fingerprinting baseline family / large-scale study,02_related_work;04_method;05_experiments,Highly cited deep RF fingerprinting reference
CNN-IQ / spectrogram RFFI baseline,riyaz2018deep_cnn_radio_id,Deep Learning Convolutional Neural Networks for Radio Identification,S. Riyaz; K. Sankhe; S. Ioannidis; K. Chowdhury,IEEE Communications Magazine,2018,,snowball from shen2021 refs [4],TO_READ,CNN-based wireless device ID context,02_related_work,Standard comms mag reference
OOB hardware impairment,elmaghbub2020widescan,WideScan: Exploiting Out-of-Band Distortion for Device Classification Using Deep Learning,Abdurrahman Elmaghbub; Bechir Hamdaoui; Arun Natarajan,Proc. IEEE GLOBECOM,2020,,snowball from hamdaoui2022 refs [13],ABSTRACT_CHECKED,Key OOB prior art; supports no-first-OOB-claim boundary,02_related_work;04_method,Must cite when discussing OOB evidence
OOB hardware impairment,zhou2021robust_rffi_iotj,A Robust Radio Frequency Fingerprint Extraction Scheme for Practical Device Recognition,X. Zhou; A. Hu; G. Li; L. Peng; Y. Xing; J. Yu,IEEE Internet of Things Journal,2021,,snowball from hamdaoui2022 refs [10],TO_READ,IoTJ RFFI robustness reference,02_related_work,Useful venue/style reference
RF sequence modeling / attention,vaswani2017attention,Attention Is All You Need,A. Vaswani et al.,NeurIPS,2017,arXiv:1706.03762,standard,READ,Transformer/attention foundation for sequence encoder wording,02_related_work;04_method,RF-HSTU uses attention-like blocks; not identical to original Transformer
Domain shift / metric learning,shen2022scalable_lora_rffi,Towards Scalable and Channel-Robust Radio Frequency Fingerprint Identification for LoRa,Guanxiong Shen; Junqing Zhang; Alan Marshall; Joseph Cavallaro,IEEE TIFS,2022,arXiv:2107.02867,paper_reading_notes.md,READ,Scalable LoRa RFFI / metric learning context,02_related_work;07_discussion,No direct OSU split comparison
